id,mon,s,t
12748,"13,2,23,1,373,1",23,217
12749,"0,3,209,2",23,217
12750,"13,2,75,1,190,1",22,217
12751,"13,2,23,1,376,1",22,217
12752,"0,3,1445,1",22,217
12753,"0,3,7,1,1154,1",22,217
12754,"1506,1",21,217
12755,"9,1,13,1,787,1",21,217
12756,"0,1,1491,1",21,217
12757,"0,2,137,1,324,1",21,217
12758,"0,2,7,1,1175,1",21,217
12759,"1507,1",20,217
12760,"1,1,137,1,324,1",20,217
12761,"0,2,138,1,324,1",20,217
12762,"0,3,1447,1",20,217
12763,"1,1,3,1,1323,1",19,217
12764,"0,1,7,1,1185,1",19,217
12765,"1508,1",18,217
12766,"7,1,1208,1",18,217
12767,"1509,1",17,217
12768,"2,1,1435,1",17,217
12769,"0,1,1494,1",17,217
12770,"0,1,1493,1",17,217
12771,"0,2,8,1,79,1,324,1",17,217
12772,"7,1,1210,1",16,217
12773,"3,1,1353,1",16,217
12774,"0,1,1495,1",16,217
12775,"0,2,8,1,80,1,324,1",16,217
12776,"0,2,3,1,1331,1",16,217
12777,"0,3,1455,1",16,217
12778,"1510,1",15,217
12779,"3,1,1354,1",15,217
12780,"0,2,3,1,1332,1",15,217
12781,"0,5,1418,1",15,217
12782,"0,5,1417,1",15,217
12783,"7,1,1213,1",14,217
12784,"3,1,1355,1",14,217
12785,"3,2,1215,1",14,217
12786,"1,1,1477,1",14,217
12787,"0,1,1496,1",14,217
12788,"0,2,7,1,1178,1",14,217
12789,"1511,1",13,217
12790,"144,1,324,1",13,217
12791,"7,1,1215,1",13,217
12792,"0,1,3,1,1345,1",13,217
12793,"0,2,1479,1",13,217
12794,"0,2,1478,1",13,217
12795,"0,5,128,1,324,1",13,217
12796,"3,2,1216,1",12,217
12797,"1,1,1479,1",12,217
12798,"0,1,141,1,324,1",12,217
12799,"0,1,2,1,1418,1",12,217
12800,"0,1,2,1,1417,1",12,217
12801,"7,1,1216,1",11,217
12802,"3,1,1358,1",11,217
12803,"1,1,139,1,324,1",11,217
12804,"7,1,1217,1",10,217
12805,"2,1,134,1,324,1",10,217
12806,"7,1,95,1,324,1",9,217
12807,"0,1,3,1,1348,1",9,217
12808,"0,1,1498,1",8,217
12809,"0,1,7,1,92,1,324,1",8,217
12810,"0,1,2,1,131,1,324,1",8,217
12811,"1512,1",7,217
12812,"0,1,142,1,324,1",6,217
12813,"0,1,143,1,324,1",5,217
12814,"0,218",218,218
12815,"1513,1",73,218
12816,"0,2,8,1,1139,1",70,218
12817,"0,2,8,1,1140,1",69,218
12818,"1,1,1480,1",66,218
12819,"0,6,1395,1",62,218
12820,"0,5,17,1,917,1",61,218
12821,"0,2,8,1,1141,1",60,218
12822,"0,6,1396,1",60,218
12823,"0,2,8,1,1142,1",59,218
12824,"0,3,1468,1",59,218
12825,"0,6,1397,1",59,218
12826,"16,1,969,1",56,218
12827,"17,1,969,1",55,218
12828,"49,1,686,1",54,218
12829,"8,1,1179,1",53,218
12830,"0,3,1471,1",53,218
12831,"8,3,685,1",52,218
12832,"0,1,1499,1",52,218
12833,"8,1,16,1,17,1,452,1",51,218
12834,"1514,1",50,218
12835,"8,3,686,1",50,218
12836,"8,3,687,1",49,218
12837,"0,2,8,1,64,1,403,1",49,218
12838,"8,4,16,1,244,1",48,218
12839,"8,4,17,1,244,1",47,218
12840,"64,1,595,1",46,218
12841,"8,2,896,1",46,218
12842,"8,4,16,1,245,1",46,218
12843,"113,1,452,1",45,218
12844,"8,1,17,1,759,1",45,218
12845,"8,5,315,1",45,218
12846,"17,2,623,1",44,218
12847,"8,1,1180,1",44,218
12848,"8,7,149,1",44,218
12849,"42,1,759,1",43,218
12850,"8,1,1181,1",43,218
12851,"8,5,16,1,167,1",43,218
12852,"0,1,1500,1",43,218
12853,"0,5,64,2,137,1",43,218
12854,"8,2,64,1,257,1",42,218
12855,"8,4,516,1",42,218
12856,"8,6,218,1",42,218
12857,"0,5,64,2,138,1",42,218
12858,"8,2,138,1,160,1",41,218
12859,"8,3,17,1,380,1",41,218
12860,"8,6,219,1",41,218
12861,"8,2,17,2,278,1",40,218
12862,"8,3,688,1",40,218
12863,"8,5,13,1,194,1",40,218
12864,"0,5,64,1,558,1",40,218
12865,"8,2,42,1,380,1",39,218
12866,"8,3,689,1",39,218
12867,"8,4,13,2,167,1",39,218
12868,"0,6,1401,1",39,218
12869,"8,3,13,2,248,1",38,218
12870,"8,4,517,1",38,218
12871,"8,5,316,1",38,218
12872,"1515,1",37,218
12873,"8,2,13,3,219,1",37,218
12874,"8,4,518,1",37,218
12875,"8,4,9,1,292,1",37,218
12876,"64,2,149,1",36,218
12877,"8,1,13,4,194,1",36,218
12878,"8,2,64,1,260,1",36,218
12879,"8,3,23,1,316,1",36,218
12880,"8,5,318,1",36,218
12881,"64,1,598,1",35,218
12882,"13,5,167,1",35,218
12883,"8,2,897,1",35,218
12884,"8,2,9,1,23,1,292,1",35,218
12885,"8,4,9,1,293,1",35,218
12886,"0,1,16,1,963,1",35,218
12887,"64,1,599,1",34,218
12888,"16,1,974,1",34,218
12889,"13,5,168,1",34,218
12890,"8,1,9,1,13,2,346,1",34,218
12891,"8,5,9,1,209,1",34,218
12892,"1,1,1481,1",34,218
12893,"0,1,17,1,963,1",34,218
12894,"64,1,601,1",33,218
12895,"59,1,627,1",33,218
12896,"17,1,974,1",33,218
12897,"9,1,13,3,292,1",33,218
12898,"8,1,64,1,420,1",33,218
12899,"8,4,9,1,294,1",33,218
12900,"8,1,16,1,64,1,209,1",32,218
12901,"8,3,690,1",32,218
12902,"8,3,9,1,13,1,261,1",32,218
12903,"0,1,64,1,586,1",32,218
12904,"0,2,140,1,324,1",32,218
12905,"0,4,1441,1",32,218
12906,"8,1,16,1,760,1",31,218
12907,"8,2,901,1",31,218
12908,"8,2,9,1,13,1,423,1",31,218
12909,"0,2,1483,1",31,218
12910,"23,1,900,1",30,218
12911,"8,1,23,1,690,1",30,218
12912,"8,1,9,1,13,3,209,1",30,218
12913,"8,2,64,1,261,1",30,218
12914,"1,2,1441,1",30,218
12915,"0,2,1484,1",30,218
12916,"145,1,324,1",29,218
12917,"13,1,1079,1",29,218
12918,"9,1,1122,1",29,218
12919,"9,1,13,3,294,1",29,218
12920,"8,3,692,1",29,218
12921,"3,1,1368,1",29,218
12922,"1,1,1484,1",29,218
12923,"0,1,1504,1",29,218
12924,"1517,1",28,218
12925,"1516,1",28,218
12926,"13,1,23,1,628,1",28,218
12927,"8,2,101,1,209,1",28,218
12928,"1,2,1442,1",28,218
12929,"1518,1",27,218
12930,"8,1,13,1,80,1,209,1",27,218
12931,"2,1,1442,1",27,218
12932,"0,1,1505,1",27,218
12933,"13,1,23,1,629,1",26,218
12934,"13,2,761,1",26,218
12935,"1,1,209,1,215,1",26,218
12936,"0,2,1487,1",26,218
12937,"9,1,1124,1",25,218
12938,"8,2,49,1,324,1",25,218
12939,"0,2,1489,1",25,218
12940,"187,1,250,1",24,218
12941,"8,2,50,1,324,1",24,218
12942,"2,1,1444,1",24,218
12943,"0,4,209,2",24,218
12944,"1520,1",23,218
12945,"1519,1",23,218
12946,"188,1,250,1",23,218
12947,"16,1,17,2,324,1",23,218
12948,"0,4,1445,1",23,218
12949,"8,1,88,1,324,1",22,218
12950,"1,2,209,2",22,218
12951,"0,2,1491,1",22,218
12952,"0,3,137,1,324,1",22,218
12953,"8,5,324,1",21,218
12954,"1,1,1491,1",21,218
12955,"0,3,138,1,324,1",21,218
12956,"0,4,1447,1",21,218
12957,"1521,1",20,218
12958,"13,1,1087,1",20,218
12959,"8,3,22,1,324,1",20,218
12960,"2,1,1445,1",20,218
12961,"1,2,1446,1",20,218
12962,"0,2,7,1,1185,1",20,218
12963,"1522,1",19,218
12964,"146,1,324,1",19,218
12965,"13,1,1088,1",19,218
12966,"8,3,23,1,324,1",19,218
12967,"2,1,1446,1",19,218
12968,"0,1,1508,1",19,218
12969,"0,1,7,1,1208,1",19,218
12970,"147,1,324,1",18,218
12971,"13,1,1089,1",18,218
12972,"8,2,51,1,324,1",18,218
12973,"0,1,1509,1",18,218
12974,"0,2,1494,1",18,218
12975,"13,1,1091,1",17,218
12976,"8,1,13,3,324,1",17,218
12977,"0,2,1495,1",17,218
12978,"0,4,1455,1",17,218
12979,"1523,1",16,218
12980,"13,2,32,1,324,1",16,218
12981,"2,1,43,1,719,1",16,218
12982,"0,1,1510,1",16,218
12983,"1524,1",15,218
12984,"13,2,33,1,324,1",15,218
12985,"8,1,89,1,324,1",15,218
12986,"3,2,1226,1",15,218
12987,"2,1,1453,1",15,218
12988,"2,1,1452,1",15,218
12989,"0,1,3,2,1215,1",15,218
12990,"0,2,1496,1",15,218
12991,"1526,1",14,218
12992,"1525,1",14,218
12993,"9,1,80,1,324,1",14,218
12994,"3,2,1227,1",14,218
12995,"2,1,1454,1",14,218
12996,"0,1,1511,1",14,218
12997,"0,2,3,1,1345,1",14,218
12998,"0,6,128,1,324,1",14,218
12999,"1527,1",13,218
13000,"3,2,1230,1",13,218
13001,"2,1,1458,1",13,218
13002,"1,1,3,1,1345,1",13,218
13003,"0,1,3,2,1216,1",13,218
13004,"0,2,141,1,324,1",13,218
13005,"0,2,2,1,1418,1",13,218
13006,"1528,1",12,218
13007,"7,1,1232,1",12,218
13008,"3,2,1234,1",12,218
13009,"2,1,1460,1",12,218
13010,"1,1,141,1,324,1",12,218
13011,"0,1,7,1,1216,1",12,218
13012,"0,1,3,1,1358,1",12,218
13013,"1529,1",11,218
13014,"3,1,1380,1",11,218
13015,"3,2,1235,1",11,218
13016,"2,1,1463,1",11,218
13017,"2,1,1462,1",11,218
13018,"2,1,1461,1",11,218
13019,"1530,1",10,218
13020,"7,1,1235,1",10,218
13021,"3,1,120,1,324,1",10,218
13022,"3,2,1237,1",10,218
13023,"2,1,1464,1",10,218
13024,"1531,1",9,218
13025,"7,1,1237,1",9,218
13026,"3,1,121,1,324,1",9,218
13027,"0,2,7,1,92,1,324,1",9,218
13028,"1532,1",8,218
13029,"1,1,7,1,92,1,324,1",8,218
13030,"0,2,142,1,324,1",7,218
13031,"1,1,142,1,324,1",6,218
13032,"0,2,143,1,324,1",6,218
13033,"1,1,143,1,324,1",5,218
13034,"0,219",219,219
13035,"8,1,1202,1",68,219
13036,"8,1,1203,1",67,219
13037,"17,1,996,1",66,219
13038,"1533,1",65,219
13039,"8,3,700,1",64,219
13040,"8,3,701,1",63,219
13041,"8,2,17,1,579,1",62,219
13042,"8,2,915,1",61,219
13043,"0,7,1396,1",61,219
13044,"8,5,325,1",60,219
13045,"0,7,1397,1",60,219
13046,"8,5,326,1",59,219
13047,"8,2,916,1",58,219
13048,"8,4,17,1,253,1",58,219
13049,"8,2,917,1",57,219
13050,"8,4,528,1",57,219
13051,"0,1,16,1,969,1",57,219
13052,"16,1,17,1,636,1",56,219
13053,"8,7,152,1",56,219
13054,"0,1,17,1,969,1",56,219
13055,"59,1,635,1",55,219
13056,"17,2,636,1",55,219
13057,"8,7,153,1",55,219
13058,"8,3,16,1,402,1",54,219
13059,"8,6,17,1,117,1",54,219
13060,"0,4,1471,1",54,219
13061,"8,3,16,1,403,1",53,219
13062,"8,6,223,1",53,219
13063,"0,2,1499,1",53,219
13064,"8,3,17,1,403,1",52,219
13065,"8,9,55,1",52,219
13066,"1,2,1471,1",52,219
13067,"8,2,42,1,402,1",51,219
13068,"8,9,56,1",51,219
13069,"0,1,1514,1",51,219
13070,"1534,1",50,219
13071,"8,6,224,1",50,219
13072,"8,8,17,1,40,1",50,219
13073,"8,6,225,1",49,219
13074,"8,8,100,1",49,219
13075,"8,1,64,1,432,1",48,219
13076,"8,4,16,1,17,1,138,1",48,219
13077,"8,11,9,1",48,219
13078,"1,1,5,1,64,1,452,1",48,219
13079,"8,1,64,1,433,1",47,219
13080,"8,4,17,2,138,1",47,219
13081,"8,10,29,1",47,219
13082,"0,1,8,2,896,1",47,219
13083,"8,2,918,1",46,219
13084,"8,7,16,1,64,1",46,219
13085,"8,9,9,1,23,1",46,219
13086,"0,1,8,1,17,1,759,1",46,219
13087,"8,1,17,1,778,1",45,219
13088,"8,7,17,1,64,1",45,219
13089,"8,8,9,1,51,1",45,219
13090,"0,1,17,2,623,1",45,219
13091,"8,3,64,1,184,1",44,219
13092,"8,7,154,1",44,219
13093,"8,7,9,1,13,3",44,219
13094,"0,6,64,2,137,1",44,219
13095,"8,3,64,1,185,1",43,219
13096,"8,6,42,1,64,1",43,219
13097,"8,6,9,1,13,2,32,1",43,219
13098,"0,6,64,2,138,1",43,219
13099,"8,4,529,1",42,219
13100,"8,5,9,1,13,3,23,1",42,219
13101,"8,8,101,1",42,219
13102,"8,3,17,1,404,1",41,219
13103,"8,4,9,1,13,3,51,1",41,219
13104,"8,7,13,1,80,1",41,219
13105,"0,6,64,1,558,1",41,219
13106,"8,3,9,1,13,6",40,219
13107,"8,5,64,1,72,1",40,219
13108,"8,6,23,1,101,1",40,219
13109,"1535,1",39,219
13110,"8,2,9,1,13,5,32,1",39,219
13111,"8,5,327,1",39,219
13112,"8,5,13,1,23,1,80,1",39,219
13113,"16,1,64,3",38,219
13114,"8,1,9,1,13,6,23,1",38,219
13115,"8,4,17,1,255,1",38,219
13116,"8,4,13,3,101,1",38,219
13117,"16,1,64,1,299,1",37,219
13118,"9,1,13,6,51,1",37,219
13119,"8,3,13,4,80,1",37,219
13120,"8,4,530,1",37,219
13121,"0,1,64,2,149,1",37,219
13122,"0,1,8,2,64,1,260,1",37,219
13123,"1536,1",36,219
13124,"8,1,64,1,434,1",36,219
13125,"8,2,13,3,23,1,101,1",36,219
13126,"8,5,9,1,212,1",36,219
13127,"0,1,64,1,598,1",36,219
13128,"0,1,8,2,897,1",36,219
13129,"8,1,13,4,23,1,80,1",35,219
13130,"8,2,920,1",35,219
13131,"8,4,9,1,13,1,188,1",35,219
13132,"0,1,16,1,974,1",35,219
13133,"0,2,17,1,963,1",35,219
13134,"1537,1",34,219
13135,"13,6,101,1",34,219
13136,"8,3,64,1,187,1",34,219
13137,"8,3,9,1,13,1,267,1",34,219
13138,"0,1,64,1,601,1",34,219
13139,"0,1,17,1,974,1",34,219
13140,"1538,1",33,219
13141,"8,2,9,1,13,1,23,1,188,1",33,219
13142,"8,3,64,1,188,1",33,219
13143,"0,2,64,1,586,1",33,219
13144,"0,5,1441,1",33,219
13145,"8,1,9,1,13,3,212,1",32,219
13146,"8,3,704,1",32,219
13147,"1,1,64,1,586,1",32,219
13148,"0,3,1483,1",32,219
13149,"9,1,13,4,188,1",31,219
13150,"8,3,705,1",31,219
13151,"13,4,286,1",30,219
13152,"8,2,13,1,640,1",30,219
13153,"0,1,145,1,324,1",30,219
13154,"0,2,1504,1",30,219
13155,"13,4,287,1",29,219
13156,"8,1,13,1,80,1,212,1",29,219
13157,"0,1,1517,1",29,219
13158,"0,1,1516,1",29,219
13159,"64,1,610,1",28,219
13160,"13,2,80,1,188,1",28,219
13161,"187,1,255,1",27,219
13162,"1539,1",26,219
13163,"13,4,288,1",26,219
13164,"8,1,1205,1",26,219
13165,"0,1,8,2,49,1,324,1",26,219
13166,"13,3,532,1",25,219
13167,"9,1,1148,1",25,219
13168,"3,1,1386,1",25,219
13169,"0,1,187,1,250,1",25,219
13170,"0,1,8,2,50,1,324,1",25,219
13171,"0,5,209,2",25,219
13172,"1540,1",24,219
13173,"0,1,1519,1",24,219
13174,"0,5,1445,1",24,219
13175,"1542,1",23,219
13176,"1541,1",23,219
13177,"67,1,604,1",23,219
13178,"0,4,137,1,324,1",23,219
13179,"1543,1",22,219
13180,"68,1,604,1",22,219
13181,"13,1,1096,1",22,219
13182,"1,1,1506,1",22,219
13183,"0,4,138,1,324,1",22,219
13184,"0,5,1447,1",22,219
13185,"1545,1",21,219
13186,"1544,1",21,219
13187,"1,2,137,1,324,1",21,219
13188,"0,1,1521,1",21,219
13189,"0,1,2,1,1445,1",21,219
13190,"1546,1",20,219
13191,"0,1,1522,1",20,219
13192,"0,1,146,1,324,1",20,219
13193,"1547,1",19,219
13194,"0,1,147,1,324,1",19,219
13195,"1548,1",18,219
13196,"7,2,965,1",18,219
13197,"1,1,1509,1",18,219
13198,"0,5,1455,1",18,219
13199,"3,1,1387,1",17,219
13200,"1,1,7,1,1210,1",17,219
13201,"0,1,1523,1",17,219
13202,"0,2,1510,1",17,219
13203,"1,1,1510,1",16,219
13204,"0,1,1524,1",16,219
13205,"0,1,8,1,89,1,324,1",16,219
13206,"0,1,2,1,1453,1",16,219
13207,"1,1,7,1,1213,1",15,219
13208,"0,1,1525,1",15,219
13209,"0,1,9,1,80,1,324,1",15,219
13210,"0,1,2,1,1454,1",15,219
13211,"0,7,128,1,324,1",15,219
13212,"1,1,144,1,324,1",14,219
13213,"1,1,7,1,1215,1",14,219
13214,"0,1,1527,1",14,219
13215,"0,3,141,1,324,1",14,219
13216,"1,2,1479,1",13,219
13217,"0,1,7,1,1232,1",13,219
13218,"0,2,3,1,1358,1",13,219
13219,"0,1,1529,1",12,219
13220,"0,1,3,1,1380,1",12,219
13221,"13,1,75,1,324,1",11,219
13222,"0,1,1530,1",11,219
13223,"0,1,3,1,120,1,324,1",11,219
13224,"0,1,2,1,1464,1",11,219
13225,"1549,1",10,219
13226,"13,1,76,1,324,1",10,219
13227,"0,1,1531,1",10,219
13228,"1,1,1512,1",8,219
13229,"0,3,142,1,324,1",8,219
13230,"148,1,324,1",7,219
13231,"0,3,143,1,324,1",7,219
13232,"0,220",220,220
13233,"1,1,1513,1",74,220
13234,"1550,1",73,220
13235,"0,1,8,1,1202,1",69,220
13236,"0,1,8,1,1203,1",68,220
13237,"0,1,17,1,996,1",67,220
13238,"0,8,1396,1",62,220
13239,"0,8,1397,1",61,220
13240,"0,1,8,2,916,1",59,220
13241,"0,1,8,2,917,1",58,220
13242,"0,2,16,1,969,1",58,220
13243,"0,1,16,1,17,1,636,1",57,220
13244,"0,2,17,1,969,1",57,220
13245,"0,1,17,2,636,1",56,220
13246,"0,5,1471,1",55,220
13247,"0,3,1499,1",54,220
13248,"0,2,1514,1",52,220
13249,"0,1,1534,1",51,220
13250,"0,2,8,2,896,1",48,220
13251,"0,2,8,1,17,1,759,1",47,220
13252,"1551,1",42,220
13253,"8,1,1219,1",41,220
13254,"5,1,64,1,491,1",41,220
13255,"8,2,149,2",40,220
13256,"8,2,927,1",39,220
13257,"8,2,928,1",38,220
13258,"1,1,1515,1",38,220
13259,"0,2,64,2,149,1",38,220
13260,"0,2,8,2,64,1,260,1",38,220
13261,"8,3,715,1",37,220
13262,"1,1,64,2,149,1",37,220
13263,"0,1,1536,1",37,220
13264,"0,2,64,1,598,1",37,220
13265,"0,2,8,2,897,1",37,220
13266,"1552,1",36,220
13267,"8,2,13,1,642,1",36,220
13268,"0,3,17,1,963,1",36,220
13269,"8,1,13,1,864,1",35,220
13270,"0,1,1537,1",35,220
13271,"0,2,64,1,601,1",35,220
13272,"0,2,17,1,974,1",35,220
13273,"13,2,784,1",34,220
13274,"8,1,1220,1",34,220
13275,"1,1,59,1,627,1",34,220
13276,"0,3,64,1,586,1",34,220
13277,"0,6,1441,1",34,220
13278,"20,1,963,1",33,220
13279,"13,3,537,1",33,220
13280,"13,6,105,1",33,220
13281,"0,4,1483,1",33,220
13282,"1553,1",32,220
13283,"149,1,318,1",32,220
13284,"9,1,13,4,23,1,75,1",32,220
13285,"160,1,293,1",31,220
13286,"0,2,145,1,324,1",31,220
13287,"0,3,1504,1",31,220
13288,"8,1,160,1,209,1",30,220
13289,"1,1,145,1,324,1",30,220
13290,"1,2,1484,1",30,220
13291,"8,1,1221,1",29,220
13292,"2,1,1484,1",29,220
13293,"1554,1",28,220
13294,"9,1,1170,1",28,220
13295,"3,1,1404,1",28,220
13296,"13,2,23,1,417,1",27,220
13297,"0,1,1539,1",27,220
13298,"0,2,8,2,49,1,324,1",27,220
13299,"9,1,13,1,75,1,212,1",26,220
13300,"0,1,3,1,1386,1",26,220
13301,"0,2,8,2,50,1,324,1",26,220
13302,"1556,1",25,220
13303,"1555,1",25,220
13304,"0,2,1519,1",25,220
13305,"0,6,1445,1",25,220
13306,"9,1,13,2,569,1",24,220
13307,"1,1,1519,1",24,220
13308,"0,1,1541,1",24,220
13309,"0,1,67,1,604,1",24,220
13310,"0,5,137,1,324,1",24,220
13311,"1557,1",23,220
13312,"0,5,138,1,324,1",23,220
13313,"0,6,1447,1",23,220
13314,"1558,1",21,220
13315,"13,2,787,1",21,220
13316,"1,1,1521,1",21,220
13317,"0,2,146,1,324,1",21,220
13318,"1559,1",20,220
13319,"1,1,1522,1",20,220
13320,"0,1,1547,1",20,220
13321,"0,2,147,1,324,1",20,220
13322,"0,1,1548,1",19,220
13323,"0,6,1455,1",19,220
13324,"1560,1",18,220
13325,"0,1,3,1,1387,1",18,220
13326,"0,2,1523,1",18,220
13327,"1561,1",17,220
13328,"149,1,324,1",17,220
13329,"7,1,1267,1",17,220
13330,"7,2,988,1",17,220
13331,"1,1,1523,1",17,220
13332,"0,2,1524,1",17,220
13333,"1562,1",16,220
13334,"13,1,1118,1",16,220
13335,"7,1,1269,1",16,220
13336,"7,1,1268,1",16,220
13337,"2,1,1495,1",16,220
13338,"1,1,1524,1",16,220
13339,"0,2,1525,1",16,220
13340,"0,2,9,1,80,1,324,1",16,220
13341,"13,1,1120,1",15,220
13342,"7,1,1270,1",15,220
13343,"3,1,1410,1",15,220
13344,"1,1,1526,1",15,220
13345,"1,1,1525,1",15,220
13346,"0,2,1527,1",15,220
13347,"1563,1",14,220
13348,"150,1,324,1",14,220
13349,"7,1,1271,1",14,220
13350,"3,1,1411,1",14,220
13351,"2,1,1496,1",14,220
13352,"1,1,1527,1",14,220
13353,"0,2,7,1,1232,1",14,220
13354,"1564,1",13,220
13355,"151,1,324,1",13,220
13356,"7,1,1274,1",13,220
13357,"7,1,1273,1",13,220
13358,"1,1,1528,1",13,220
13359,"0,2,1529,1",13,220
13360,"0,2,3,1,1380,1",13,220
13361,"3,1,1415,1",12,220
13362,"2,2,1418,1",12,220
13363,"1,1,1529,1",12,220
13364,"0,1,13,1,75,1,324,1",12,220
13365,"0,2,1530,1",12,220
13366,"7,1,1280,1",11,220
13367,"1,1,1530,1",11,220
13368,"1,1,7,1,1235,1",11,220
13369,"0,2,1531,1",11,220
13370,"7,1,1282,1",10,220
13371,"7,1,1281,1",10,220
13372,"2,2,1422,1",10,220
13373,"1,1,1531,1",10,220
13374,"7,1,1284,1",9,220
13375,"2,2,1424,1",9,220
13376,"1,1,1532,1",9,220
13377,"0,4,142,1,324,1",9,220
13378,"7,1,1286,1",8,220
13379,"2,1,1498,1",8,220
13380,"0,4,143,1,324,1",8,220
13381,"1565,1",7,220
13382,"1,2,142,1,324,1",7,220
13383,"1,2,143,1,324,1",6,220
13384,"0,221",221,221
13385,"0,1,1550,1",74,221
13386,"0,2,8,1,1202,1",70,221
13387,"0,2,8,1,1203,1",69,221
13388,"5,1,1312,1",63,221
13389,"0,9,1396,1",63,221
13390,"0,9,1397,1",62,221
13391,"0,2,8,2,916,1",60,221
13392,"0,2,8,2,917,1",59,221
13393,"0,3,17,1,969,1",58,221
13394,"0,2,17,2,636,1",57,221
13395,"8,1,1239,1",56,221
13396,"1,1,59,1,635,1",56,221
13397,"0,6,1471,1",56,221
13398,"17,1,1030,1",55,221
13399,"0,4,1499,1",55,221
13400,"8,1,1240,1",54,221
13401,"8,1,1241,1",53,221
13402,"0,3,1514,1",53,221
13403,"8,3,722,1",52,221
13404,"8,2,17,1,595,1",51,221
13405,"16,1,1033,1",50,221
13406,"8,3,723,1",50,221
13407,"17,1,1033,1",49,221
13408,"8,3,724,1",49,221
13409,"8,5,343,1",48,221
13410,"1567,1",47,221
13411,"1566,1",47,221
13412,"8,4,17,1,257,1",47,221
13413,"8,1,64,1,452,1",46,221
13414,"8,3,725,1",46,221
13415,"8,5,344,1",46,221
13416,"8,1,138,1,244,1",45,221
13417,"8,1,16,1,17,1,491,1",45,221
13418,"8,5,345,1",45,221
13419,"8,1,137,1,245,1",44,221
13420,"8,1,17,2,491,1",44,221
13421,"8,7,160,1",44,221
13422,"8,1,60,1,491,1",43,221
13423,"8,2,939,1",43,221
13424,"8,6,232,1",43,221
13425,"8,2,16,1,64,1,149,1",42,221
13426,"8,4,16,1,260,1",42,221
13427,"8,6,233,1",42,221
13428,"8,2,16,1,598,1",41,221
13429,"8,4,17,1,260,1",41,221
13430,"8,5,9,1,219,1",41,221
13431,"64,1,623,1",40,221
13432,"8,2,16,1,17,1,292,1",40,221
13433,"8,3,726,1",40,221
13434,"8,4,9,1,13,1,194,1",40,221
13435,"1,1,1535,1",40,221
13436,"113,1,491,1",39,221
13437,"8,3,42,1,260,1",39,221
13438,"8,3,9,1,13,2,167,1",39,221
13439,"8,4,549,1",39,221
13440,"0,3,64,2,149,1",39,221
13441,"8,2,9,1,13,2,248,1",38,221
13442,"8,5,347,1",38,221
13443,"8,5,346,1",38,221
13444,"0,2,1536,1",38,221
13445,"0,3,64,1,598,1",38,221
13446,"8,1,9,1,13,3,219,1",37,221
13447,"8,4,550,1",37,221
13448,"8,4,13,1,292,1",37,221
13449,"0,1,1552,1",37,221
13450,"0,4,17,1,963,1",37,221
13451,"64,2,160,1",36,221
13452,"9,1,13,4,194,1",36,221
13453,"8,2,64,1,278,1",36,221
13454,"8,3,23,1,346,1",36,221
13455,"8,5,348,1",36,221
13456,"0,3,64,1,601,1",36,221
13457,"0,3,17,1,974,1",36,221
13458,"64,1,624,1",35,221
13459,"8,2,940,1",35,221
13460,"8,2,13,1,23,1,292,1",35,221
13461,"8,5,350,1",35,221
13462,"0,4,64,1,586,1",35,221
13463,"0,7,1441,1",35,221
13464,"8,1,113,1,292,1",34,221
13465,"8,1,64,1,455,1",34,221
13466,"8,1,13,3,346,1",34,221
13467,"8,5,13,1,209,1",34,221
13468,"0,5,1483,1",34,221
13469,"17,1,1035,1",33,221
13470,"13,4,292,1",33,221
13471,"8,1,72,1,420,1",33,221
13472,"8,4,13,1,294,1",33,221
13473,"0,1,149,1,318,1",33,221
13474,"8,2,64,1,279,1",32,221
13475,"8,2,9,1,690,1",32,221
13476,"8,3,13,2,261,1",32,221
13477,"1568,1",31,221
13478,"8,1,9,1,901,1",31,221
13479,"8,2,64,1,280,1",31,221
13480,"8,2,13,2,423,1",31,221
13481,"64,1,627,1",30,221
13482,"9,1,23,1,690,1",30,221
13483,"8,1,13,4,209,1",30,221
13484,"8,3,729,1",30,221
13485,"0,1,2,1,1484,1",30,221
13486,"188,1,260,1",29,221
13487,"152,1,324,1",29,221
13488,"13,1,1122,1",29,221
13489,"13,4,294,1",29,221
13490,"8,2,9,1,692,1",29,221
13491,"0,1,1554,1",29,221
13492,"1569,1",28,221
13493,"153,1,324,1",28,221
13494,"13,1,1123,1",28,221
13495,"13,5,181,1",28,221
13496,"8,1,9,1,101,1,209,1",28,221
13497,"0,2,1539,1",28,221
13498,"1571,1",27,221
13499,"1570,1",27,221
13500,"9,1,13,1,80,1,209,1",27,221
13501,"2,1,1505,1",27,221
13502,"1,1,1539,1",27,221
13503,"1572,1",26,221
13504,"2,2,1430,1",26,221
13505,"0,3,1519,1",26,221
13506,"13,1,1124,1",25,221
13507,"8,2,55,1,324,1",25,221
13508,"3,1,1430,1",25,221
13509,"0,6,137,1,324,1",25,221
13510,"1573,1",24,221
13511,"187,1,261,1",24,221
13512,"13,1,1125,1",24,221
13513,"8,2,56,1,324,1",24,221
13514,"0,6,138,1,324,1",24,221
13515,"1574,1",23,221
13516,"188,1,261,1",23,221
13517,"8,1,17,1,40,1,324,1",23,221
13518,"1,1,1543,1",23,221
13519,"1575,1",22,221
13520,"13,1,75,1,335,1",22,221
13521,"8,1,100,1,324,1",22,221
